organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 05:14:00,1009661,1SPT,962482,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,0.10,180.00,2.60,1.80kHz,4.38kHz,4018042,2,Song,1,,t,1,Michelle Knaggs,900,15,f,-9.35,-31.66,2,0.020611,-0.56839,0.497009,-4.91,-32.77,-57.17,2,0,-0.043915,0.044312,-27.07,-11.01,-29.21,2,0.036506,-0.415894,0.533142,-5.46,-31.57,-54.85,2,0,-0.04425,0.043976,-27.08,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962482,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/dca035ddbaef4ce7bdf6af4ce9919361.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/858d45294059465eb737f1c7778f3846.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 05:14:00,1009661,1SPT,962482,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,6.84,180.00,2.85,1.85kHz,6.33kHz,4018047,1,Song,1,2,t,1,Michelle Knaggs,900,2731,f,-25.96,-36.63,3,0.018619,-0.02832,0.081116,-21.82,-45.88,-55.91,2,0,-0.017517,0.015991,-35.13,-21.41,-31.14,2,0.036304,-0.081329,0.17804,-14.99,-44.42,-54.26,2,0,-0.017548,0.017334,-35.12,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962482,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/83dc692a930844a989d5ab63da486f3e.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/4861dde9306748609544fc89112afbec.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 05:14:00,1009661,1SPT,962482,t,UNPA,Unidentified Passerine,"",Aves,8.60,180.00,0.55,6.64kHz,9.48kHz,4018049,1,Call,1,,f,1,Michelle Knaggs,900,,f,-32.62,-35.19,2,0.01923,-0.010223,0.042633,-27.41,-55.3,-64.65,2,0,-0.006561,0.006653,-43.54,-27.46,-29.72,2,0.037817,0.002045,0.084869,-21.42,-56.78,-64.32,2,0,-0.005524,0.005554,-45.11,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962482,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/51a534c8778b4ec0a365727f711065e1.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/b65c26bac9e5495e9192f6bd8b32706f.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 05:14:00,1009661,1SPT,962482,t,UNPA,Unidentified Passerine,"",Aves,10.21,180.00,1.04,2.68kHz,6.03kHz,4018052,2,Song,1,,f,1,Michelle Knaggs,900,,f,-30.98,-37.31,2,0.019309,-0.020966,0.052094,-25.66,-55.8,-57.87,2,0,-0.007141,0.005859,-42.92,-25.24,-31.23,2,0.036785,-0.009857,0.089081,-21,-54.68,-56.49,2,-0.000001,-0.007965,0.006195,-41.98,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962482,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/8f650b4509ca4d38abaff04c31adfb59.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/76aeaf64b7fe4cfca65df69642f699c9.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 05:14:00,1009661,1SPT,962482,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,14.03,180.00,1.38,1.29kHz,5.05kHz,4018054,2,Song,1,2,t,1,Michelle Knaggs,900,2731,f,-25.56,-38.22,2,0.0194,-0.053314,0.091766,-20.75,-51.92,-54.92,2,0,-0.01062,0.009003,-39.48,-22.88,-30.95,2,0.03622,-0.027832,0.115387,-18.76,-52.03,-53.67,2,-0.000002,-0.016846,0.011322,-35.47,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962482,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/433327ca20af4decbde1611ac4961470.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/1f17aa21d8604cde9f14204b8846073e.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-02 05:14:00,1009661,1SPT,962482,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,76.39,180.00,2.49,1.75kHz,3.97kHz,4018062,3,Song,1,,t,2,Michelle Knaggs,900,15,f,-25.9,-35.95,2,0.019329,-0.077606,0.082916,-21.63,-56.42,-58.23,2,0,-0.005798,0.00531,-44.73,-21.44,-31.45,2,0.03672,-0.076111,0.143616,-16.86,-53.35,-56.06,2,0,-0.01123,0.008362,-38.99,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=962482,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/01d74dfd02874cc7b070451bc3469a8f.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/5ae1acfb-4edc-44cc-b8ec-9689a23d60c4/fca089626acd4cdda16229b702b93682.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-03 05:13:00,2876427,1SPT,2604048,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,18.71,180.00,2.29,1.55kHz,6.54kHz,5241902,1,Song,1,,f,2,Leonard Patterson,2623,,f,-32.78,-36.3,2,0.019269,-0.001465,0.04422,-27.09,-43.71,-60.17,2,0,-0.017822,0.018372,-34.72,-27.7,-29.57,2,0.036784,0.014526,0.062012,-24.15,-42.63,-59.83,2,-0.000001,-0.023468,0.023865,-32.44,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048,https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/cd56608082af45ff91ad1f15a3f8e015.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/e7e98156618b49c8a6b02dc920d99131.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-03 05:13:00,2876427,1SPT,2604048,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,21.01,180.00,1.58,0.77kHz,7.52kHz,5241903,1,Song,1,,f,1,Leonard Patterson,2623,,f,-32.86,-35.22,2,0.019298,-0.007904,0.043671,-27.2,-42.27,-57.56,2,-0.000002,-0.023254,0.022461,-32.67,-27.95,-29.13,2,0.036749,0.012115,0.060455,-24.37,-42.63,-55.79,2,-0.000003,-0.023468,0.020752,-32.59,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048,https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/4ecb7dda60094e16a4b1fc15797be308.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/267a1fb3d34b4b5f8c60eaaa5a2cda3a.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-03 05:13:00,2876427,1SPT,2604048,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,32.83,180.00,0.60,3.81kHz,4.58kHz,5242039,1,Song,1,,f,1,Leonard Patterson,2623,,f,-32.89,-35.6,2,0.018899,0.003601,0.035095,-29.1,-53.34,-57.71,3,0,-0.003998,0.004059,-47.83,-28.21,-29.17,2,0.036703,0.023987,0.053589,-25.42,-50.67,-54.09,2,0,-0.005219,0.005188,-45.65,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048,https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/d8b5419547a34d4a99685d1bbc441e8b.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/64c6b00386234393933fce26376d1d86.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2023,2346,DOC213-FR-C,492653,2023-06-03 05:13:00,2876427,1SPT,2604048,t,ALFL,Alder Flycatcher,EMPIDONAX ALNORUM,Aves,65.09,180.00,0.34,1.75kHz,3.45kHz,5241906,1,Song,1,,f,1,Leonard Patterson,2623,,f,-33.81,-34.61,2,0.019291,0.005463,0.031494,-30.04,-55.82,-59.3,2,-0.000002,-0.005066,0.00531,-45.5,-28.53,-28.83,2,0.037029,0.022308,0.048676,-26.25,-55.07,-57.2,2,-0.000003,-0.007629,0.00528,-42.35,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2604048,https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/a459aa68f3014b02b2140f4cbac0aa11.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/8923506b-4883-469e-b64b-629078f8ecc2/246e7fe8286a41968bfb23bed132d3ce.flac
