location,recording_date_time
H-CC-29-27,2021-05-31 6:00
H-CC-29-46,2021-05-31 6:00
H-RS-29-25,2021-05-31 6:00
H-RS-29-26,2021-05-31 6:00
H-RS-29-36,2021-05-31 6:00
H-CC-29-27,2021-05-31 6:40
H-RS-29-33,2021-05-31 6:40
H-RS-31-29,2021-05-31 6:40
H-CC-29-27,2021-05-31 7:00
H-CC-29-46,2021-05-31 7:00
H-RS-29-33,2021-05-31 7:00
H-RS-31-29,2021-05-31 7:00
H-CC-29-46,2021-05-31 7:20
H-RS-29-26,2021-05-31 7:20
H-RS-29-33,2021-05-31 7:20
H-CC-29-46,2021-05-31 8:00
H-RS-29-36,2021-05-31 8:00
H-RS-29-44,2021-05-31 8:00
H-RS-29-26,2021-05-31 8:20
H-RS-29-36,2021-05-31 8:20
H-CC-29-27,2021-05-31 8:40
H-RS-29-26,2021-05-31 8:40
H-RS-29-36,2021-05-31 8:40
H-RS-31-29,2021-05-31 8:40
H-CC-29-27,2021-05-31 9:00
H-RS-29-26,2021-05-31 9:00
H-RS-29-44,2021-05-31 9:00
H-RS-31-29,2021-05-31 9:00
H-CC-29-27,2021-05-31 9:20
H-CC-29-46,2021-05-31 9:20
H-RS-29-44,2021-05-31 9:20
H-CC-29-46,2021-06-01 5:40
H-RS-29-36,2021-06-01 5:40
H-RS-29-44,2021-06-01 5:40
H-CC-31-26,2021-06-01 6:00
H-CC-31-26,2021-06-01 6:20
H-RS-19-91,2021-06-01 6:40
H-CC-31-26,2021-06-01 7:00
H-RS-29-36,2021-06-01 7:00
H-RS-29-33,2021-06-01 7:20
H-RS-29-33,2021-06-01 7:40
H-RS-29-36,2021-06-01 7:40
H-CC-31-26,2021-06-01 8:20
H-CC-31-26,2021-06-01 8:40
H-RS-29-33,2021-06-01 8:40
H-RS-29-36,2021-06-01 9:00
H-RS-29-44,2021-06-01 9:20
H-RS-19-91,2021-06-02 7:40
H-RS-10-2,2021-06-03 5:40
H-CC-10-14,2021-06-03 6:00
H-RS-10-16,2021-06-03 6:00
H-RS-10-2,2021-06-03 6:40
H-RS-10-2,2021-06-03 7:00
H-CC-10-14,2021-06-03 7:20
H-RS-10-2,2021-06-03 7:40
H-CC-10-14,2021-06-03 8:20
H-RS-19-91,2021-06-03 8:20
H-CC-10-14,2021-06-03 9:00
H-RS-10-16,2021-06-03 9:00
H-CC-10-14,2021-06-03 9:20
H-CC-10-14,2021-06-04 5:40
H-RS-10-2,2021-06-04 6:00
H-CC-10-14,2021-06-04 6:20
H-RS-10-16,2021-06-04 6:20
H-RS-10-2,2021-06-04 7:20
H-RS-19-91,2021-06-04 7:20
H-RS-10-16,2021-06-04 7:40
H-RS-10-2,2021-06-04 7:40
H-RS-10-16,2021-06-04 8:00
H-RS-10-2,2021-06-04 8:00
H-CC-10-14,2021-06-04 8:20
H-CC-10-14,2021-06-04 8:40
H-RS-10-2,2021-06-04 9:20
H-RS-2-59,2021-06-05 5:20
H-RS-10-2,2021-06-05 5:40
H-CC-10-14,2021-06-05 6:00
H-CC-2-58,2021-06-05 6:40
H-RS-10-16,2021-06-05 6:40
H-RS-7-52,2021-06-05 6:40
H-CC-10-14,2021-06-05 7:00
H-RS-10-16,2021-06-05 7:00
H-RS-10-2,2021-06-05 7:00
H-RS-10-2,2021-06-05 7:20
H-RS-2-43,2021-06-05 7:20
H-RS-2-59,2021-06-05 7:20
H-CC-10-14,2021-06-05 8:00
H-RS-7-52,2021-06-05 8:00
H-RS-10-16,2021-06-05 8:20
H-RS-10-2,2021-06-05 8:20
H-RS-7-52,2021-06-05 8:20
H-RS-7-52,2021-06-05 8:40
H-RS-2-10,2021-06-06 5:20
H-RS-10-16,2021-06-06 5:40
H-RS-2-11,2021-06-06 5:40
H-RS-2-59,2021-06-06 5:40
H-CC-10-14,2021-06-06 6:00
H-CC-2-58,2021-06-06 6:00
H-CC-2-58,2021-06-06 6:20
H-RS-2-10,2021-06-06 6:20
H-RS-2-11,2021-06-06 6:20
H-RS-2-43,2021-06-06 6:20
H-RS-2-48,2021-06-06 6:20
H-CC-10-14,2021-06-06 6:40
H-CC-2-58,2021-06-06 6:40
H-RS-2-10,2021-06-06 6:40
H-RS-2-48,2021-06-06 7:00
H-RS-2-10,2021-06-06 7:20
H-RS-2-11,2021-06-06 7:20
H-RS-2-12,2021-06-06 7:40
H-RS-2-43,2021-06-06 7:40
H-RS-7-52,2021-06-06 7:40
H-RS-10-16,2021-06-06 8:00
H-RS-2-48,2021-06-06 8:00
H-RS-2-59,2021-06-06 8:00
H-CC-10-14,2021-06-06 8:20
H-RS-2-10,2021-06-06 8:20
H-RS-2-12,2021-06-06 8:20
H-RS-2-43,2021-06-06 8:20
H-CC-2-13,2021-06-06 8:40
H-RS-2-48,2021-06-06 8:40
H-RS-19-91,2021-06-06 9:00
H-RS-2-48,2021-06-06 9:00
H-RS-2-10,2021-06-07 5:20
H-RS-2-48,2021-06-07 5:20
H-RS-2-59,2021-06-07 5:20
