"","distance","species_code","BinForest","SM2","lwr","upr","predicted"
"1",15,"BRBL","FO",0,-13.7966462200645,-11.7372920262648,-12.7669691231646
"2",15.9719438877756,"BRBL","FO",0,-14.4036895185359,-12.3521550416683,-13.3779222801021
"3",16.9438877755511,"BRBL","FO",0,-14.9785654900434,-12.93473633686,-13.9566509134517
"4",17.9158316633267,"BRBL","FO",0,-15.5248716339776,-13.4886321126054,-14.5067518732915
"5",18.8877755511022,"BRBL","FO",0,-16.0456349374499,-14.0168680576028,-15.0312514975264
"6",19.8597194388778,"BRBL","FO",0,-16.5434264953004,-14.5220139692434,-15.5327202322719
"7",20.8316633266533,"BRBL","FO",0,-17.020448716369,-15.0062709606566,-16.0133598385128
"8",21.8036072144289,"BRBL","FO",0,-17.478602625995,-15.4715387640108,-16.4750706950029
"9",22.7755511022044,"BRBL","FO",0,-17.9195404789169,-15.9194683442353,-16.9195044115761
"10",23.74749498998,"BRBL","FO",0,-18.3447073695778,-16.351503510173,-17.3481054398754
"11",24.7194388777555,"BRBL","FO",0,-18.7553744904032,-16.7689141737261,-17.7621443320647
"12",25.6913827655311,"BRBL","FO",0,-19.1526659723289,-17.1728231912754,-18.1627445818022
"13",26.6633266533066,"BRBL","FO",0,-19.5375807385957,-17.5642282183863,-18.550904478491
"14",27.6352705410822,"BRBL","FO",0,-19.9110104438607,-17.9440196498523,-18.9275150468565
"15",28.6072144288577,"BRBL","FO",0,-20.2737543110696,-18.3129954575181,-19.2933748842938
"16",29.5791583166333,"BRBL","FO",0,-20.6265314883772,-18.6718735481693,-19.6492025182732
"17",30.5511022044088,"BRBL","FO",0,-20.9699914074715,-19.0213021228432,-19.9956467651574
"18",31.5230460921844,"BRBL","FO",0,-21.3047225190633,-19.3618684133203,-20.3332954661918
"19",32.4949899799599,"BRBL","FO",0,-21.6312597013752,-19.6941060916298,-20.6626828965025
"20",33.4669338677355,"BRBL","FO",0,-21.9500905764022,-20.0185015873397,-20.984296081871
"21",34.438877755511,"BRBL","FO",0,-22.2616609216374,-20.3354995003242,-21.2985802109808
"22",35.4108216432866,"BRBL","FO",0,-22.5663793283767,-20.645507260119,-21.6059432942479
"23",36.3827655310621,"BRBL","FO",0,-22.8646212290567,-20.9488991543181,-21.9067601916874
"24",37.3547094188377,"BRBL","FO",0,-23.1567323934722,-21.246019825858,-22.2013761096651
"25",38.3266533066132,"BRBL","FO",0,-23.4430319757601,-21.5371873210711,-22.4901096484156
"26",39.2985971943888,"BRBL","FO",0,-23.7238151796753,-21.8226957560343,-22.7732554678548
"27",40.2705410821643,"BRBL","FO",0,-23.9993555981305,-22.1028176571831,-23.0510866276568
"28",41.2424849699399,"BRBL","FO",0,-24.2699072736276,-22.3778060228137,-23.3238566482207
"29",42.2144288577154,"BRBL","FO",0,-24.535706518599,-22.6478961444937,-23.5918013315463
"30",43.186372745491,"BRBL","FO",0,-24.7969735284628,-22.9133072211785,-23.8551403748207
"31",44.1583166332665,"BRBL","FO",0,-25.0539138150794,-23.1742437937227,-24.114078804401
"32",45.1302605210421,"BRBL","FO",0,-25.3067194840789,-23.4308970232513,-24.3688082536651
"33",46.1022044088176,"BRBL","FO",0,-25.5555703760278,-23.6834458333559,-24.6195081046919
"34",47.0741482965932,"BRBL","FO",0,-25.8006350884829,-23.9320579331657,-24.8663465108243
"35",48.0460921843687,"BRBL","FO",0,-26.0420718935465,-24.1768907358993,-25.1094813147229
"36",49.0180360721443,"BRBL","FO",0,-26.2800295634826,-24.418092185459,-25.3490608744708
"37",49.9899799599198,"BRBL","FO",0,-26.5146481152314,-24.6558015019008,-25.5852248085661
"38",50.9619238476954,"BRBL","FO",0,-26.7460594831954,-24.8901498551505,-25.8181046691729
"39",51.9338677354709,"BRBL","FO",0,-26.9743881284328,-25.1212609751,-26.0478245517664
"40",52.9058116232465,"BRBL","FO",0,-27.1997515913368,-25.3492517051605,-26.2745016482486
"41",53.877755511022,"BRBL","FO",0,-27.4222609939777,-25.5742325054451,-26.4982467497114
"42",54.8496993987976,"BRBL","FO",0,-27.6420214975109,-25.7963079109846,-26.7191647042478
