organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,Aves,145.23,180,1.25,2.11kHz,6.39kHz,5214776,1,Song,1,,f,1,Leonard Patterson,2623,,f,-27.77,-29.41,2,0.036833,0.016968,0.056885,-24.9,-52.39,-59.11,2,-0.000001,-0.01236,0.008545,-38.16,-29.92,-31.78,2,0.028449,0.007812,0.046021,-26.74,-51.79,-58.13,2,-0.000001,-0.011688,0.008667,-38.65,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/2e963903d0f84874b1b51d0124767ee7.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/86c6a66f26ec42eebfc3cae6eff95163.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-04 5:12,2757373,1SPT,2499542,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,166.8,180,1.61,2.63kHz,3.45kHz,5214784,3,Song,1,,f,2,Leonard Patterson,2623,,f,-27.81,-29.65,3,0.036744,0.006714,0.057098,-24.87,-60.85,-67.49,2,0,-0.003357,0.003143,-49.48,-29.29,-32.16,2,0.028719,-0.005096,0.046204,-26.71,-57.87,-64.97,4,0,-0.004822,0.004883,-46.23,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499542,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/3d659f7553ce4ad1bce678c48f6a4c8e.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/66b9152d-2f95-45b3-9335-5c8002ca94a3/d8336010842c4a56ac6001ff31a96c96.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-07 5:10,2757375,1SPT,2499544,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,11.59,180,1.59,3.24kHz,4.17kHz,5215405,1,Song,1,,f,2,Leonard Patterson,2623,,f,-28.31,-28.85,2,0.037113,0.026306,0.050323,-25.96,-56.24,-68.15,3,0,-0.00351,0.003448,-49.1,-30.51,-31.08,2,0.028793,0.015472,0.043518,-27.23,-55.39,-67.79,2,0,-0.003662,0.003723,-48.58,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499544,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/ad4fe8e68a3442e497fec6052f06a443.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/f5d6113a09074b77857a3057d31f3051.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-07 5:10,2757375,1SPT,2499544,t,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,22.81,180,0.4,1.96kHz,3.50kHz,5215407,1,Song,1,,f,2,Leonard Patterson,2623,,f,-28.34,-28.9,2,0.037245,0.026978,0.047363,-26.49,-63.33,-64.92,2,-0.000002,-0.006653,0.005157,-43.54,-30.68,-31.02,2,0.028846,0.020782,0.037048,-28.62,-60.42,-64.1,2,-0.000002,-0.004852,0.003601,-46.28,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499544,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/f437f077c7fc4523854480faa5c9a58c.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/8a3c8f8f4fb445b9b9c89896330f93c6.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-07 5:10,2757375,1SPT,2499544,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,41.73,180,1.13,2.99kHz,4.12kHz,5215406,2,Song,1,,f,1,Leonard Patterson,2623,,f,-28.22,-28.88,2,0.037287,0.02597,0.046997,-26.56,-60.28,-67.16,2,0,-0.003998,0.003693,-47.96,-30.45,-31.07,2,0.02881,0.020447,0.037964,-28.41,-65.83,-69.46,2,0,-0.002838,0.002472,-50.94,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499544,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/1bd11bce30804255b0253a27b3c5cad0.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/86cdb3cad2ed4976bc749d4578dcc512.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-07 5:10,2757375,1SPT,2499544,t,RUGR,Ruffed Grouse,BONASA UMBELLUS,Aves,46.28,180,3.4,0.00kHz,0.72kHz,5215408,1,Non-vocal,1,,f,1,Leonard Patterson,2623,,f,-27.71,-29.17,2,0.037175,0.008423,0.065582,-23.66,-27.71,-29.18,6,-0.037173,-0.053375,-0.020081,-25.45,-30.23,-31.32,2,0.028895,-0.002167,0.061005,-24.29,-30.24,-31.33,5,-0.028894,-0.040894,-0.015289,-27.77,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499544,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/74ca7086c7a5455ab4ccca50a7659973.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/1a58c4dbc4344bf59863bce517ea41e2.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-07 5:10,2757375,1SPT,2499544,t,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,Aves,53.36,180,1.38,2.99kHz,6.80kHz,5215409,1,Song,1,,f,1,Leonard Patterson,2623,,f,-28.26,-28.95,2,0.037091,0.026184,0.048401,-26.3,-56.51,-63.88,2,-0.000001,-0.011475,0.006104,-38.81,-30.31,-31.35,2,0.028582,0.019562,0.038361,-28.32,-57.94,-64.28,2,0,-0.008667,0.004395,-41.24,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499544,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/5999242502624f3aaeec831aa859d7cd.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/5466ccce350648cca79d7a98f560d617.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-07 5:10,2757375,1SPT,2499544,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,61.58,180,1.56,1.75kHz,5.82kHz,5215400,1,Song,1,,f,1,Leonard Patterson,2623,,f,-27.47,-29.58,2,0.037005,0.010803,0.061249,-24.26,-51.63,-62.44,2,-0.000001,-0.015045,0.007202,-36.45,-29.27,-31.79,2,0.028603,0.011627,0.047485,-26.47,-54.05,-63.92,2,-0.000001,-0.011597,0.008453,-38.71,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499544,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/0699bb442b43467a80bf80616f94787e.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/f0948a3a88bb428a8fca866a7c6eb28e.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-07 5:10,2757375,1SPT,2499544,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,63.26,180,1.39,1.18kHz,7.26kHz,5215401,1,Song,1,,f,1,Leonard Patterson,2623,,f,-28.09,-29.35,2,0.037005,0.016754,0.061188,-24.27,-42.97,-58.25,2,-0.000002,-0.020447,0.021454,-33.37,-29.8,-31.59,2,0.028726,0.006134,0.056244,-25,-42.2,-57.24,2,-0.000002,-0.02356,0.024719,-32.14,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499544,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/3f2259d1bfdc4242ba083f2312e68622.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/ce7ffd4ad92f44a198f56c1e4b69fd8d.flac
CANFOR,Interior Broadleaf Working Group ARU Monitoring 2024,2967,DOC213-FR-C,492653,2024-06-07 5:10,2757375,1SPT,2499544,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,64.75,180,1.29,0.88kHz,4.58kHz,5215402,2,Song,1,,f,1,Leonard Patterson,2623,,f,-27.76,-29.21,2,0.037086,0.010284,0.060272,-24.4,-46.34,-55.24,2,-0.000003,-0.016846,0.01358,-35.47,-30.31,-31.56,2,0.02876,0.011414,0.04364,-27.2,-48.19,-56.67,2,-0.000002,-0.011597,0.011536,-38.71,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2499544,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/be143cf18672445a92e41c52ad4c7bb2.jpg,https://wildtrax-aru.s3-accelerate.amazonaws.com/dc879ff5-7539-419e-90aa-171a49b5b03e/921aa479bf554cac8303b4125dc44d8b.flac
