Block,Treatment,Plot,SMR,SNR,Slope (%),Aspect (degrees),Mesoslope,Exposure,Humus Form,Humus Thickness (cm),Ae / Ah,A thickness (cm),Soil Texture,Mineral Soil Depth,Rooting Depth,Coarse Fragment (%),Gleying / Mottling,Gleying Depth (cm),Root Restricting Layer,Root Restricting Depth (cm),Canopy,Vegetation,Notes
DOC266,FR,DOC266_FR_N,3,C-,< 5,180,Level,,Moder,3 - 5,Ae,5 - 10,SiL-SiCl,,,20,No,,,,At,Sali sp; Pli; At; Shep can; Arct sta uva; Sorb sco; Diph com,Light soils.
DOC266,FR,DOC266_FR_NW,3+,C,,,Upper,,Moder,5,Ae,5,,,,,No,,,,,Amel aln; Linn bor; Loni inv.,Similar to N plot; soils slightly darker.
DOC266,FR,DOC266_FR_S,4,C,5 - 15,180,Mid-Lower,,,,Ah,,L-SiL,,,,No,,,,,Sali sp; Alnu sp; Pli; Sx; At; Pyro rot; Vacc sp; Arni sp; Mela lin; Linn bor; Loni inv; Spir bet; Rubu par,
DOC266,FR,DOC266_FR_SE,5-,C,,,Lower-Mid,,Moder,,,,SiCL,,,,Light,,,,At,At; Pli; Sx; Bl; Amel aln; Chim umb; Mela lin; Loni inv,Similar to S plot (veg. and soils).
DOC266,FR,DOC266_FR_W,4(5+),C,,,Mid-Upper,,,,,,SiL(CL),,,,No,,,,,Sali sp; Alnu sp; Diph com; Equi sp,Small depression/wet area within plot.
DOC266,HR,DOC266_HR_C,5,C+,,,Mid-Lower,,Moder,5,Ah,5,L,> 30,,,Light,30,Yes,30,,Sali sp; Equi sp; Pyro rot; Rubu ida; Ribe lac; Spir bet; Spir dou,Darker soils versus S plot; more clay; charcoal.
DOC266,HR,DOC266_HR_N,4,C,5,0,,,Moder,5,Ah,< 1,L,,30,30,No,,Yes,30,,"Pli, Sx, Sb",Sparse shrub layer.
DOC266,HR,DOC266_HR_NW,4,C,12,0,Lower,,,10,Ae,5,L,,,35,No,,,,,Coma umb; Rubu par; Mela lin; Pyro sp.; Corn can; Cast min; Cham ang; Diph com,Fairly well developed shrub layer.
DOC266,HR,DOC266_HR_S,4-,C-,5,28,,,Moder,5,,,L,> 30,20,20,No,,Yes,30,,Sx; Sb; Pli; At; Sali sp; Alnu sp; Vacc sp; Loni inv; Mela lin; Peta pal; Rosa aci; Vibu edu; Amel aln,
DOC266,HR,DOC266_HR_SE,4,C,,,Upper,,,,,,,,,,No,,,,,Sali sp,Soils similar to NW plot. On top of burn pile; near road.
DOC266,HR,DOC266_HR_W,4-,C-,5 - 10,0,,,Moder,5,Ae,10,,,30,25,No,,Yes,30,,At; Pli; Sx; Bl; Alnu sp; Sali sp; Loni inv; Ribe lac; Diph com; Sorb sco; Cala can; Gymn dry; Linn bor; Rosa aci; Spir sp,"Lighter soils. Well developed shrubs and regen (At, Bl)."
DOC266,LR,DOC266_LR_C,4-,B+,< 5,340,Level,,Moder,2 - 5,Ae,10,,,30,35,No,,Yes,30,At,At; Sali sp; Pli; Sx; Diph com; Mela inv; Coma umb; Vacc cae; Loni inv; Cast min,Open. Approaching draw.
DOC266,LR,DOC266_LR_N,4,C,,,Level-Depression,,Moder,3,Ah,1,L,,,,No,,,,,Pli; Sx; Sb; Sali sp; At; Shep can; Vacc cae; Aste sp; Equi sp,Similar soils to W plot; slightly darker. Abundant moss cover.
DOC266,LR,DOC266_LR_NW,5,B+,,,Depression,Cold-air; frost.,Moder,3 - 5,Ah,1,,,,30,Light,,,,,Pli; Sx; Sb; Mela inv; Vacc cae; Diph com; Cala can; Cast min; Spir dou; Amel aln,Similar to N plot; same depression. Near burn pile.
