Block,Treatment,Plot,SMR,SNR,Slope (%),Aspect (degrees),Mesoslope,Exposure,Humus Form,Humus Thickness (cm),Ae / Ah,A thickness (cm),Soil Texture,Mineral Soil Depth,Rooting Depth,Coarse Fragment (%),Gleying / Mottling,Gleying Depth (cm),Root Restricting Layer,Root Restricting Depth (cm),Canopy,Vegetation,Notes
MUS124,HR,MUS124_HR_N,3+,B+,15,350,Mid-Level,,Moder,10,Ae,7,L-SiL,,30,40,No,,Yes,30,,Sx; Bl; Alnu aln; Sali sp; Sorb sp; Amal aln,Similar soils to C. Approaching draw. More Sx regen.
MUS124,HR,MUS124_HR_NW,4,C,8,45,Lower-Mid,,Moder,5,Ae,2,L,> 50,30,,No,,,,,Shep can; Vacc cae; Spir dou,
MUS124,HR,MUS124_HR_S,3+,B+,,,Level,,Moder,7,Ae,5,SiL,,,,No,,Yes,30 - 50,,Bl; At; Alnu sp; Cala can; Rosa aci; Spri bet; Diph com,Soils similar to C plot.
MUS124,HR,MUS124_HR_SE,4,C,20,70,Mid-Lower,,Moder,5,Ae,3,SiL,,,40,No,,,,,Mela lin; Pyro rot,Similar to S plot.
MUS124,HR,MUS124_HR_W,3+,C-,12,30,Mid-Lower,,Moder,5,,,,,,35,No,,,,At,At; Pli; Alnu sp; Sali sp; Mela lin,Less developed soil horizons (brunisol). Well developed shrub layer. Poorly performing Pl.
MUS124,NT,MUS124_NT_C,5,D-,,,Level,,Moder,5 - 10,Ah,2,,> 50,> 50,0,Light,< 30,,,,At; Cham ang; Vibu edu; Equi sp; Cala can; Ribe lac; Loni inv; Gymn dry,"Deep, fine soils. Well developed At regen. and veg."
MUS124,NT,MUS124_NT_N,4+,D+,,,Level,,Moder,10,Ah,15,SiL,> 50,> 50,0,No,,,,,At; Act; Alnu sp; Sali sp; Spir sp; Vibu edu; Peta pal; Rubu par; Equi sp; Ribe lax,"Fine, dark, dep soils."
MUS124,NT,MUS124_NT_NW,5,C,,,Level,,Moder,3 - 5,Ae,3 - 5,SiL,,,0,Light,< 30,,,At,At; Sali sp; Alnu sp; Cham ang; Vibu edu; Aral nud,Soils more similar to C plot. Abundant At.
MUS124,NT,MUS124_NT_S,5,D,,,Level,,,,Ah,< 1,SiL,> 50,,0,Light,< 30,,,,At; Aral nud; Rubu par; Corn ser; Acta rub; Ribe lac; Ribe lax; Athy fil; Gymn dry; Equi sp; Vibu edu; Maia rac,Thick At; No Pl.
MUS124,NT,MUS124_NT_SE,5,C+,,,Level,,,,Ae,1 - 2,,,30,15,Light,,Yes,30,,Sali sp; At; Pli; Bl; Ribe lax; Rubu par; Vibu edu; Equi sp,Similar veg.; large Sali sp. Open. Intermediate-coloured soils.
MUS124,NT,MUS124_NT_W,4+,D,,,Level,,Moder,10,Ah,3 - 5,SiL,> 50,,0,No,,,,,At; Sali sp; Equi sp; Ribe lac; Vibu edu; Rosa aci,Similar to N plot; dark soils. Well developed At regen.
MUS155,FR,MUS155_FR_C,4,C,,,Level,,Moder,7,Ae,2,LS-SL,> 50,40,,No,,,,,,Similar to LR plots; darker soils.
MUS155,FR,MUS155_FR_N,4,C,,,Level,,,,,,,,,,No,,,,,,Similar to C and W plots.
MUS155,FR,MUS155_FR_NW,,,,,,,,,,,,,,,No,,,,,,Missing.
MUS155,FR,MUS155_FR_S,4,C+,,,Toe-Depression,,,,,,,,,,No,,,,,,
MUS155,FR,MUS155_FR_SE,4,C+,,,Depression,,Moder,5,Ae,5,SL,> 50,40,30 - 50,No,,,,,Shep can,In same draw as S plot.
MUS155,FR,MUS155_FR_W,4,C,,,Level,,,,,,,,,,No,,,,,Salix sp; Shep can,Similar to C plot. Out of drainage.
MUS155,HR,MUS155_HR_C,4,C-,,,Level,,Moder,5,Ah,30,L,> 50,30,,No,,,,,Pli; Sx; At; Rosa aci; Loni inv; Spir sp; Cham ang; Peta pal; Corn can; Linn bor,
MUS155,HR,MUS155_HR_N,4,C,,,,,Moder,7,No,,L,,,40,No,,,,,Sx; Pli; Sali sp; Alnu sp; Equi sp,Similar to other plots. Well developed Sali sp and Alnu sp.
MUS155,HR,MUS155_HR_NW,4,C,,,,,Moder,7,Ah,,,,,,No,,,,,,Similar to N plot; darker soils.
MUS155,HR,MUS155_HR_S,4,C,,,,,Mor,,Ae / Ah,< 1 / < 1,L-SiL,> 50,30,,No,,,,,At; Clin uni; Gymn dry; Vibu edu; Aral nud; Spir bet; Maia rac; Sorb sco,Similar to C plot. Tall At.
MUS155,HR,MUS155_HR_SE,4,D-,,,,,Moder,7 - 10,Ah,< 1,,,,,No,,,,,Sx; Pli; At; Loni inv; Rubu ida; Pyro rot; Arni sp; Achi mil; Aqui can,Well developed shrubs. Darker soils.
MUS155,HR,MUS155_HR_W,4,C,,,,,Moder,,,,L-SiL,,,,No,,,,At,Act; At; Sx; Pli,Less shrub development.
MUS155,LR,MUS155_LR_C,4,C,,,Level,,Moder,5,No,,L,> 40,20,,No,,Yes,40,,Sx; Pli; At; Sali sp; Alnu sp; Rosa aci; Amel aln; Vacc sp; Coma umb; Diph com,
MUS155,LR,MUS155_LR_N,,,,,,,,,,,,,,,No,,,,,,Missing.
MUS155,LR,MUS155_LR_NW,4,C,,,,,,,,,,,,,No,,,,,,Similar to NW plot.
MUS155,NT,MUS155_NT_C,4,D,,,,,Moder,10,Ah,20,L,> 50,30,,No,,,,At,Act; Aster sp; Ribe lac; Stre amp; Corn ser; Rubu par,Veg. and soils different. Well developed shrubs.
MUS155,NT,MUS155_NT_N,6,D-,,,Mid-Level,,,,,,,,,,Yes,,,,,Act; At; Sali sp; Alnu sp; Sx,Wet soils with clay and mottling.
MUS155,NT,MUS155_NT_NW,4,C+,,,,,Moder,Thick,Ah,Thick,,,,,No,,,,,Alnu sp; Sali sp; Linn bor; Loni inv; Rubu par; Vibu edu,Well developed shrub layer.
MUS155,NT,MUS155_NT_S,4+,D,,,,,,,,,,,,,No,,,,,Alnu sp: Sali sp: Sx: Pli: Act: Vibu edu: Loni inv: Rosa aci: Rubu par: Rubu ida: Linn bor,Similar to other plots.
MUS155,NT,MUS155_NT_SE,4+,D,,,,,,,,,,,,,No,,,,,Act; Alnu sp; Sali sp; Cast min,Similar to C plot.
MUS155,NT,MUS155_NT_W,4+,D,,,Upper,,,,,,,,,,No,,,,,At; Act; Sx; Pli; Aqui can,Open area.
MUS155,LR,MUSS155_LR_S,4,C,,,,,Moder,3 - 5,Ae,2 - 5,,,20,,No,,,,,,Similar to C plot.
MUS155,LR,MUSS155_LR_SE,5,C,,,Lower-Depression,,,,Ah,0 - 5,SL,> 50,40,10,No,,,,,Bl; Pli; Sali sp; Shep can; Loni inv; Cala can; Rosa aci; Amel aln; Rubu ida; Spir bet,Well developed shrubs. Sandy soils.
MUS155,LR,MUSS155_LR_W,4,C,,,Level,,Moder,3 - 5,Ae,5,,,,20,No,,Yes,20,,Alnu sp,Similar to other plots. Tall Alnu sp.

